OrderID,OrderDate,ProductID,Quantity,Sales,DeliveryDate,Warehouse
ORD-00001,2023-08-18,PROD-164,1,3136.0,2023-08-25,Cairo Main
ORD-00002,2023-06-20,PROD-153,8,2966.4,2023-06-25,Cairo Main
ORD-00003,2024-12-18,PROD-145,3,525.3,2024-12-22,Alexandria Depot
ORD-00004,2023-12-03,PROD-191,5,13306.5,2023-12-05,Dubai Hub
ORD-00005,2024-08-22,PROD-064,6,1086.0,2024-08-31,Alexandria Depot
ORD-00006,2024-04-01,PROD-110,7,6243.3,2024-04-06,Cairo Main
ORD-00007,2024-01-29,PROD-165,5,1225.5,2024-02-04,Dubai Hub
ORD-00008,2023-05-26,PROD-085,5,10610.0,2023-05-27,Alexandria Depot
ORD-00009,2023-09-22,PROD-133,6,7608.0,2023-09-26,Dubai Hub
ORD-00010,2023-09-06,PROD-152,1,1382.0,2023-09-11,Alexandria Depot
ORD-00011,2024-06-08,PROD-194,5,10960.0,2024-06-12,Cairo Main
ORD-00012,2023-04-08,PROD-048,6,7146.0,2023-04-10,Cairo Main
ORD-00013,2024-01-23,PROD-158,5,12321.5,2024-01-24,Cairo Main
ORD-00014,2024-07-08,PROD-039,4,5188.0,2024-07-17,Dubai Hub
ORD-00015,2023-06-08,PROD-100,3,980.1,2023-06-12,Cairo Main
ORD-00016,2024-04-19,PROD-191,8,22473.2,2024-04-27,Cairo Main
ORD-00017,2024-05-03,PROD-057,8,5844.4,2024-05-11,Alexandria Depot
ORD-00018,2023-01-25,PROD-072,7,18925.9,2023-01-29,Cairo Main
ORD-00019,2023-08-04,PROD-189,3,10374.0,2023-08-12,Dubai Hub
ORD-00020,2023-03-17,PROD-003,3,1370.85,2023-03-21,Dubai Hub
ORD-00021,2023-09-30,PROD-132,9,17262.0,2023-10-06,Alexandria Depot
ORD-00022,2024-10-29,PROD-089,3,8949.0,2024-11-03,Cairo Main
ORD-00023,2024-06-09,PROD-177,1,2465.0,2024-06-10,Alexandria Depot
ORD-00024,2024-12-13,PROD-091,7,23506.0,2024-12-22,Cairo Main
ORD-00025,2023-03-09,PROD-144,1,365.5,2023-03-15,Alexandria Depot
ORD-00026,2023-03-10,PROD-023,9,25902.0,2023-03-19,Alexandria Depot
ORD-00027,2024-06-08,PROD-026,7,9163.0,2024-06-12,Cairo Main
ORD-00028,2023-03-26,PROD-115,3,1450.65,2023-03-30,Alexandria Depot
ORD-00029,2023-09-27,PROD-026,5,6545.0,2023-10-01,Cairo Main
ORD-00030,2024-10-19,PROD-126,7,7188.65,2024-10-21,Alexandria Depot
ORD-00031,2023-05-17,PROD-119,1,2681.0,2023-05-20,Alexandria Depot
ORD-00032,2023-10-27,PROD-153,7,2884.0,2023-11-01,Dubai Hub
ORD-00033,2024-06-22,PROD-170,6,1134.0,2024-06-26,Dubai Hub
ORD-00034,2023-06-18,PROD-077,4,9888.0,2023-06-19,Dubai Hub
ORD-00035,2024-07-21,PROD-044,1,153.9,2024-07-29,Alexandria Depot
ORD-00036,2023-12-16,PROD-001,7,23121.0,2023-12-20,Cairo Main
ORD-00037,2024-07-09,PROD-164,4,12544.0,2024-07-13,Alexandria Depot
ORD-00038,2023-01-10,PROD-095,6,3744.9,2023-01-17,Dubai Hub
ORD-00039,2024-02-20,PROD-115,2,1018.0,2024-02-26,Alexandria Depot
ORD-00040,2024-08-04,PROD-022,2,2559.3,2024-08-06,Cairo Main
ORD-00041,2023-10-09,PROD-100,7,2541.0,2023-10-13,Alexandria Depot
ORD-00042,2024-12-28,PROD-133,1,1077.8,2024-12-30,Alexandria Depot
ORD-00043,2024-07-06,PROD-117,7,6097.0,2024-07-09,Alexandria Depot
ORD-00044,2023-01-14,PROD-147,2,432.0,2023-01-20,Cairo Main
ORD-00045,2023-10-28,PROD-112,9,7814.7,2023-11-06,Cairo Main
ORD-00046,2023-06-03,PROD-061,7,18095.0,2023-06-04,Dubai Hub
ORD-00047,2024-09-03,PROD-086,9,27231.75,2024-09-07,Cairo Main
ORD-00048,2023-01-07,PROD-057,9,6574.95,2023-01-15,Alexandria Depot
ORD-00049,2024-11-07,PROD-095,8,4467.6,2024-11-11,Cairo Main
ORD-00050,2023-08-16,PROD-149,2,1364.0,2023-08-22,Dubai Hub
